kartoška: kartoška
zor: zor
uže: uže
hos: hos
bušne: bušne
goli: goli
idu: idu
ɣine: ɣine
toxtur: toxtur
užá: užá
qodoqo: qodo qo
lak: lak
de: de
hobože: hobože
izzuqo: izzuqo
židułi: židułi
hunar: hunar
gollu: gollu
goli: goli
ʎɨn: ʎɨn
ise: ise
užá: užá
xexiłin: xexiłin
idu: idu
lɨdo: lɨdo
emmo: em mo
hada: hada
eⁿs: eⁿs
hos: hos
ɨs: ɨs
ise: ise
žuliklo: žulik lo
iłe: iłe
muše: muše
gollo: gollo
idu: idu
qʷagu: qʷa gu
hada: hada
de: de
ɣudul: ɣudul
hada: hada
de: de
ɣudul: ɣudul
hobonezi: hobonezi
žu: žu
eⁿłala: eⁿłala
dilʲlʲo: dilʲlʲo
ezel: eze l
hos: hos
himon: himon
žu: žu
himon: himon
os: os
ono: ono
heⁿhe: heⁿhe
goli: goli
ɣʷade: ɣʷade
goli: goli
co: co
idu: idu
himon: himon
ʎɨn: ʎɨn
žu: žu
ɣine: ɣine
žu: žu
himon: himon
goli: goli
iso: iso
xuy: xuy
ɣiná: ɣiná
podnos: podnos
karavatɨʎ: karavatɨʎ
nartaw: nartaw
hobołe: hobołe
izzuč: izzu č
ise: ise
loluʎ: lolu ʎ
idu: idu
obu: obu
goli: goli
mo: mo
goli: goli
dilʲ: dilʲ
žu: žu
kad: kad
ze: ze
gollo: gollo
ʎɨn: ʎɨn
gił: gił
eⁿš: eⁿš
ilʲó: ilʲó
łino: łino
hobode: hobode
homonu: homonu
xristanba: xristan ba
do: do
aʎał: aʎał
goli: goli
iłes: iłes
aq: aq
eⁿču: eⁿču
ečuł: eču ł
hadal: hadal
gollu: gollu
mičahab: mičaha b
uže: uže
ʎun: ʎun
isuho: isuho
abaxar: abaxar
madaul: madaul
žu: žu
kad: kad
ʎɨn: ʎɨn
puho: puho
ono: ono
hobołe: hobołe
qoʎu: qoʎu
qoʎu: qoʎu
kad: kad
hada: hada
emqo: em qo
me: me
dubo: dubo
liʎ: liʎ
goli: goli
idu: idu
os: os
goli: goli
os: os
goli: goli
hed: hed
ɣudul: ɣudul
užaqa: užaqa
hobože: hobože
de: de
ise: ise
gobi: gobi
diqo: diqo
idu: idu
diqo: diqo
ʎɨn: ʎɨn
idu: idu
dublo: dublo
goli: goli
ʎɨn: ʎɨn
kode: kode
ise: ise
idu: idu
uže: uže
hobože: hobože
isul: isul
idu: idu
himon: himon
do: do
mižul: mižul
žibžibis: žibžibis
himon: himon
goli: goli
dilʲ: dilʲ
ʎɨn: ʎɨn
uže: uže
kad: kad
huⁿne: huⁿne
goli: goli
ono: ono
hos: hos
ħažiyaw: ħažiyaw
iseiso: iseiso
mˤgɣul: mˤgɣul
qˤe: qˤe
iso: iso
diɣol: diɣol
hos: hos
ʎɨn: ʎɨn
aqɣa: aq ɣa
atɣul: atɣul
žu: žu
ɣon: ɣon
ílʲo: ílʲo
dilʲlʲo: dilʲlʲo
aumru: aumru
žu: žu
ílʲo: ílʲo
žu: žu
dilʲ: dilʲ
dilʲ: dilʲ
geq: geq
dilʲ: dilʲ
geq: geq
diyo: diyo
uže: uže
goli: goli
obu: obu
kad: kad
zihe: zihe
lože: lože
ʎib: ʎib
žu: žu
gobi: gobi
žu: žu
razi: razi
goli: goli
eⁿdu: eⁿdu
žu: žu
goli: goli
idu: idu
soyro: soyro
goli: goli
bataxu: bataxu
bataxu: bataxu
hibo: hibo
ʎɨn: ʎɨn
žu: žu
goli: goli
žu: žu
goli: goli
žu: žu
goli: goli
ise: ise
de: de
heⁿše: heⁿše
užá: užá
eze: eze
